"Gene","logFC","t_statistic","P.Value","FDR"
"ENSG00000136147",-1.29292412955147,-12.5024407420828,4.13166360235744e-23,1.20510806321338e-20
"ENSG00000142961",-1.10996156728661,-12.5000849039486,4.18362966644404e-23,1.20510806321338e-20
"ENSG00000183688",1.12488795179999,12.4909108778948,4.39231522697562e-23,1.2349617051607e-20
"ENSG00000132530",-2.15690588777292,-12.4554861801263,5.30089467415548e-23,1.46850373340795e-20
"ENSG00000155363",-1.3234166512016,-12.4273704242273,6.154385678034e-23,1.65623310575435e-20
"ENSG00000137959",-2.30874947163399,-12.4126324807747,6.65549390401488e-23,1.76586188963144e-20
"ENSG00000185880",-1.48615465018618,-12.3590918689898,8.84576829610571e-23,2.28269292002794e-20
"ENSG00000135211",-1.61880290126254,-12.3435034456371,9.61003128168783e-23,2.41378359045914e-20
"ENSG00000111331",-2.13622284494517,-12.3363420473996,9.98299431330684e-23,2.44529351570562e-20
"ENSG00000163568",-1.90978398407624,-12.3361142131629,9.99509505835718e-23,2.44529351570562e-20
"ENSG00000236345",-2.01853647734013,-12.3211386109139,1.08235883902956e-22,2.6140353602101e-20
"ENSG00000163154",-1.33833564805367,-12.3099364592596,1.14880293697895e-22,2.73938604136829e-20
"ENSG00000130813",-1.12035334117485,-12.2866211303107,1.30049871842477e-22,3.06234935721072e-20
"ENSG00000106785",-1.17461423196228,-12.2569145766164,1.52321847299092e-22,3.54251723385222e-20
"ENSG00000185909",-1.52013461937485,-12.2443623689818,1.6284635411182e-22,3.69602363705839e-20
"ENSG00000265972",-1.05646979906111,-12.2459570659951,1.61469861231385e-22,3.69602363705839e-20
"ENSG00000152778",-2.27240082347443,-12.2364987502106,1.69807918068919e-22,3.80814471497891e-20
"ENSG00000196141",-1.98355178028635,-12.2096044657324,1.95951177173798e-22,4.19649465199238e-20
"ENSG00000104885",1.35322043651635,12.2123108057662,1.93147400285687e-22,4.19649465199238e-20
"ENSG00000164674",-1.23534899551933,-12.2140548908977,1.91361863703569e-22,4.19649465199238e-20
"ENSG00000130303",-1.14822689187122,-12.2095237497235,1.96035422749405e-22,4.19649465199238e-20
"ENSG00000088827",-2.47517511530542,-12.2044712958641,2.013817098523e-22,4.24208383354786e-20
"ENSG00000173110",-1.48514387646883,-12.203274997059,2.02668831627194e-22,4.24208383354786e-20
"ENSG00000149798",-1.42809811376867,-12.1769847276716,2.3313319170573e-22,4.77365550581798e-20
"ENSG00000181381",-1.3313932757178,-12.148666388806,2.71102710062172e-22,5.49143317435612e-20
"ENSG00000164002",-1.37358628417147,-12.1343976437633,2.92523319560791e-22,5.86229180200657e-20
"ENSG00000196116",-1.59428905190204,-12.1033657603487,3.45148559848628e-22,6.84411428466153e-20
"ENSG00000171115",-1.46602606763571,-12.070764071722,4.10689315631534e-22,8.05892221652795e-20
"ENSG00000106089",1.87403887286504,12.0575085762222,4.40779900635195e-22,8.4728691511896e-20
"ENSG00000126860",-1.57260372565488,-12.0515693469015,4.54969605234697e-22,8.65729032667801e-20
"ENSG00000117010",-1.79145851284745,-12.0270429604705,5.18581643888638e-22,9.76904100757416e-20
"ENSG00000155252",1.38564694166053,11.982052997789,6.59343114037053e-22,1.22977282992376e-19
"ENSG00000259268",-1.82083925489873,-11.9748208231626,6.85301351741085e-22,1.26565753569594e-19
"ENSG00000233975",-1.84441946547103,-11.9662453103012,7.17411501116784e-22,1.31209687942116e-19
"ENSG00000138496",-1.34567959312934,-11.9240324096143,8.98849292978306e-22,1.61262123629765e-19
"ENSG00000135828",-1.49067396029844,-11.8557942011145,1.29438862830077e-21,2.25774934999351e-19
"ENSG00000048342",-1.30561536714197,-11.8488818186423,1.34311773810248e-21,2.32125247251142e-19
"ENSG00000168016",-1.09546661629422,-11.8040601150812,1.70690374604492e-21,2.84554449274286e-19
"ENSG00000121486",-1.45704707740994,-11.7842803820032,1.89740612487503e-21,3.13538040178911e-19
"ENSG00000133561",-1.31444097326859,-11.7761043610393,1.98224323077339e-21,3.24708678098341e-19
"ENSG00000140259",-1.0392092186619,-11.7370342379849,2.443176817189e-21,3.96763490363848e-19
"ENSG00000161010",1.06708681545531,11.7227721243468,2.63698629741683e-21,4.24577332228532e-19
"ENSG00000225101",-1.24445834420698,-11.6286319261507,4.36563702398954e-21,6.91091346705167e-19
"ENSG00000232815",-1.42102234905789,-11.6160224894603,4.67075121109519e-21,7.33230094288427e-19
"ENSG00000137965",-1.91666164584433,-11.6098939936903,4.82666763370067e-21,7.51444337881431e-19
"ENSG00000273272",-1.54017623875988,-11.5514474926377,6.60215176234993e-21,1.00299463628345e-18
"ENSG00000154305",-1.01198850026786,-11.5473305246857,6.74948229253342e-21,1.01717397941396e-18
"ENSG00000143409",-1.00664260345358,-11.5387744752069,7.06628779878835e-21,1.05646610756805e-18
"ENSG00000249662",-1.70726675858484,-11.4955539188259,8.90925296146261e-21,1.31119146318775e-18
"ENSG00000246082",-1.53439418994142,-11.4423495543429,1.18518656881431e-20,1.73073989018015e-18
"ENSG00000164967",-1.00407252474738,-11.4404310892151,1.19744868480878e-20,1.73519525572521e-18
"ENSG00000115267",-1.55377766683392,-11.4200884377649,1.33555223934187e-20,1.92054451028413e-18
"ENSG00000122729",-1.42974458798864,-11.409585304983,1.41298898177465e-20,2.01650654838415e-18
"ENSG00000137752",-1.37743442740825,-11.3953936045559,1.52481055067151e-20,2.14361053384701e-18
"ENSG00000175538",-1.18924811285836,-11.3846354438454,1.61544625338364e-20,2.25420566824008e-18
"ENSG00000152213",-1.265467803408,-11.3784054024211,1.67037976028866e-20,2.31372161208219e-18
"ENSG00000188313",-1.81738239046804,-11.3594292292498,1.84949836762579e-20,2.52469929343005e-18
"ENSG00000282851",-1.31376638791542,-11.3467044324889,1.98025977611976e-20,2.6837506232046e-18
"ENSG00000226067",-1.01315768428835,-11.3249884567098,2.22515025719644e-20,2.99409861036189e-18
"ENSG00000213689",-1.36982447474878,-11.287002819431,2.72867055778851e-20,3.6199081667338e-18
"ENSG00000111224",-1.28199758106716,-11.2879020891749,2.71552335743799e-20,3.6199081667338e-18
"ENSG00000122861",2.07481776694331,11.2674052304173,3.03155686980575e-20,3.9935991827553e-18
"ENSG00000103194",-1.0403887972886,-11.2642513979017,3.08335172587253e-20,4.00580550427495e-18
"ENSG00000235750",-1.20175885465533,-11.2427124560306,3.46157270306872e-20,4.43599364492575e-18
"ENSG00000172086",-1.21738397243048,-11.2410398422271,3.49281785683569e-20,4.44579072885613e-18
"ENSG00000138035",-1.46070911678401,-11.2351975494442,3.60418657019488e-20,4.55675614827726e-18
"ENSG00000159882",-1.28315679725567,-11.2189895304848,3.93211756014024e-20,4.9382153731948e-18
"ENSG00000035681",-1.26478361697115,-11.2168661358998,3.97723645661994e-20,4.9618000244905e-18
"ENSG00000126709",-1.79365608010762,-11.2122345592205,4.07745666655662e-20,5.05336372924958e-18
"ENSG00000117226",-1.6269916258379,-11.2051533208369,4.23559295698618e-20,5.21503922377161e-18
"ENSG00000059378",-1.18813447147999,-11.1905511668403,4.58133512070653e-20,5.56794780670127e-18
"ENSG00000168264",1.1320813139545,11.1914943959096,4.55817203258652e-20,5.56794780670127e-18
"ENSG00000198818",-1.23920038679128,-11.1836404726951,4.75467559095853e-20,5.70699131086759e-18
"ENSG00000182557",1.7818161366999,11.1719972742398,5.06169843403725e-20,6.03495412027808e-18
"ENSG00000115145",-1.18458373711987,-11.167469201122,5.18639168835181e-20,6.14473249214914e-18
"ENSG00000106392",-1.19985512698,-11.14678731205,5.79618819614358e-20,6.78190020117719e-18
"ENSG00000255760",-1.76697993183403,-11.1294747844985,6.36148715926413e-20,7.35200583473729e-18
"ENSG00000135148",-1.32420390737339,-11.1173382105125,6.79037371425662e-20,7.75254909267674e-18
"ENSG00000178966",-1.18191243873221,-11.0997610196259,7.46335065814614e-20,8.46955419868415e-18
"ENSG00000158373",-1.41099090324737,-11.0936429038011,7.71293343852744e-20,8.70037365957964e-18
"ENSG00000132274",-1.46138097879231,-11.0627735249401,9.10553825743737e-20,1.00900076290356e-17
"ENSG00000108984",-1.31520019658665,-11.0578621682879,9.34922389169203e-20,1.02994549515611e-17
"ENSG00000121236",-1.78482611472615,-11.0343602851945,1.06087732066934e-19,1.14461163415439e-17
"ENSG00000101574",-1.22824064533742,-11.0328742596536,1.06938978453749e-19,1.14461163415439e-17
"ENSG00000133106",-1.61263666335333,-11.031484715173,1.07741140763683e-19,1.14668226537077e-17
"ENSG00000123609",-1.39049117817533,-11.0054316150443,1.23947280982715e-19,1.30442395483373e-17
"ENSG00000138411",-1.25876828444682,-11.0008087368293,1.27067922618096e-19,1.32983640348872e-17
"ENSG00000068079",-1.3085033329383,-10.9761649666513,1.45079680287457e-19,1.4934486433088e-17
"ENSG00000184545",1.82495837055407,10.9613320934528,1.5713053571155e-19,1.60001353066712e-17
"ENSG00000133101",-2.55792754105341,-10.9416830304396,1.74650433146064e-19,1.76885207505675e-17
"ENSG00000270820",-1.21376864790232,-10.8705839793758,2.56044741793055e-19,2.52343959999505e-17
"ENSG00000072694",-1.1997780799175,-10.8697523998673,2.57193121986967e-19,2.52343959999505e-17
"ENSG00000117475",-1.21000018094191,-10.8642472941893,2.64926552345179e-19,2.58584787206139e-17
"ENSG00000270972",-1.69722456267954,-10.8629162413401,2.66831047836169e-19,2.59101199955555e-17
"ENSG00000161905",2.55566433136619,10.8492586332163,2.87181859755398e-19,2.77432403798574e-17
"ENSG00000173198",-1.38141828152832,-10.8245028425547,3.28110125614948e-19,3.13753225702254e-17
"ENSG00000135407",-1.32993748395022,-10.8131791507469,3.48729150581737e-19,3.31785845386806e-17
"ENSG00000255328",-1.64974990111577,-10.7618911733408,4.59601234527559e-19,4.32898402801508e-17
"ENSG00000173193",-1.23968856590706,-10.7561215407428,4.74099432933795e-19,4.44332592915763e-17
"ENSG00000179933",-1.20989233706155,-10.7533493344988,4.812274163674e-19,4.48780300471737e-17
"ENSG00000163464",-1.38124179921478,-10.6787033556654,7.1923830434411e-19,6.67438974247997e-17
"ENSG00000100596",-1.08472105869076,-10.6757706893303,7.30684436403601e-19,6.74736932008384e-17
"ENSG00000174007",-1.45481939996971,-10.6743430393437,7.36322285300676e-19,6.76626302950933e-17
"ENSG00000272189",-1.55342801740611,-10.6569714948885,8.08511366819443e-19,7.25273196578318e-17
"ENSG00000180871",-1.55753564715831,-10.6420086878275,8.76340706578602e-19,7.78703124081496e-17
"ENSG00000165118",-1.35224013026036,-10.6311052367188,9.29326775907799e-19,8.21908817115076e-17
"ENSG00000103355",2.33318645369175,10.6171001776138,1.00211336698091e-18,8.82140729307775e-17
"ENSG00000128335",-1.22189966325214,-10.6107496575427,1.03697099182023e-18,9.08579513670207e-17
"ENSG00000281162",-1.60365355044934,-10.5985010705814,1.10766485798578e-18,9.66027342348896e-17
"ENSG00000102524",-1.47237077696384,-10.5777112693316,1.23886330239421e-18,1.07053701332578e-16
"ENSG00000013374",-1.07246776099523,-10.5613921184061,1.35264774274675e-18,1.16352411771065e-16
"ENSG00000206344",-1.02139690943148,-10.5551605196141,1.39880449166839e-18,1.19775813700223e-16
"ENSG00000120690",-1.23303913665425,-10.5477507473685,1.45574225768268e-18,1.2408720656211e-16
"ENSG00000128383",-1.2187249450245,-10.5262617311689,1.63431600940044e-18,1.38681283716602e-16
"ENSG00000139289",1.42609515869631,10.5017281970611,1.86512288352025e-18,1.57556882868854e-16
"ENSG00000228830",1.87656362398787,10.4943880287762,1.94031564598908e-18,1.63177080978314e-16
"ENSG00000205903",1.10464178087218,10.4629718397428,2.29794069595852e-18,1.89862310659941e-16
"ENSG00000279727",-1.64007786414317,-10.4282385653086,2.77052076035455e-18,2.25935368327095e-16
"ENSG00000134326",-2.0235011620327,-10.4033568563547,3.16771030401924e-18,2.55014216697071e-16
"ENSG00000257878",-2.12008467959816,-10.4011354198482,3.20582691077389e-18,2.56984541894292e-16
"ENSG00000177294",-1.94389837987696,-10.3983321539682,3.25458201749292e-18,2.59787356125134e-16
"ENSG00000263069",-1.002817922323,-10.391177376774,3.38240697470898e-18,2.68851403331509e-16
"ENSG00000111913",-1.05049042962947,-10.3817533056008,3.55846598271776e-18,2.81657067993434e-16
"ENSG00000239653",-1.4844207353871,-10.3781215301157,3.62873450880974e-18,2.86017157644175e-16
"ENSG00000213172",-1.605641018776,-10.3617340940323,3.96345928823706e-18,3.11098525299208e-16
"ENSG00000188997",-1.13842862146733,-10.3531905008177,4.15003572272772e-18,3.24391588982344e-16
"ENSG00000255221",-1.75276745032727,-10.3395421590204,4.46647815114195e-18,3.46253149840379e-16
"ENSG00000173801",-1.48060085855681,-10.3329293817672,4.6283627909902e-18,3.57332369904399e-16
"ENSG00000163666",-1.82568110619015,-10.3301750045381,4.69750997631484e-18,3.61190583403343e-16
"ENSG00000009844",-1.13985680000335,-10.311131837951,5.20467868476205e-18,3.98559906762388e-16
"ENSG00000213928",-1.17091530310576,-10.3057788965143,5.35685359336932e-18,4.08552259076483e-16
"ENSG00000117228",-1.58293673258814,-10.2947371372513,5.68494725519402e-18,4.31826759650585e-16
"ENSG00000233030",-1.69801524078035,-10.2812235982192,6.11394667441944e-18,4.62548303022945e-16
"ENSG00000260378",-1.50205788847724,-10.2383429962924,7.70144999582504e-18,5.7800762956714e-16
"ENSG00000010030",-1.87801609285853,-10.2297653351181,8.0653852977296e-18,6.029195565025e-16
"ENSG00000178685",-1.32667557850324,-10.2103883072251,8.95205296633949e-18,6.6393218023584e-16
"ENSG00000214975",-1.74939997972025,-10.2020603153572,9.36246548222109e-18,6.88945799820628e-16
"ENSG00000253214",-1.26303505866448,-10.2009095558947,9.42063594224759e-18,6.9052894894965e-16
"ENSG00000267607",1.80216624734328,10.1878142121991,1.0108600367218e-17,7.32406975837122e-16
"ENSG00000163563",-1.36231456798067,-10.1724769993465,1.09784451473975e-17,7.89358586590361e-16
"ENSG00000120280",-1.26841923771603,-10.1598708651008,1.17491296115674e-17,8.38371604631467e-16
"ENSG00000168310",-1.27973790143053,-10.1381066210904,1.32091073077736e-17,9.35463020540749e-16
"ENSG00000168040",-1.48391062873156,-10.1334648592844,1.35432161734042e-17,9.5553223323816e-16
"ENSG00000183474",-1.11338223218239,-10.1324409408455,1.36180462755235e-17,9.57226700516087e-16
"ENSG00000152558",-1.21447622342529,-10.1119842684924,1.5202753136823e-17,1.06070171700545e-15
"ENSG00000140691",1.09306455674837,10.1075533571933,1.55695791602444e-17,1.08228683476267e-15
"ENSG00000067182",-1.08393497967328,-10.1065991490424,1.56497263782544e-17,1.0838586232116e-15
"ENSG00000168062",-1.55637132357347,-10.0956963056158,1.65952917110473e-17,1.14095658851354e-15
"ENSG00000156587",-1.39000241068479,-10.089628781527,1.71460168528567e-17,1.17453332899678e-15
"ENSG00000183621",-1.13106130311207,-10.0588831268432,2.02303503708699e-17,1.37580989273086e-15
"ENSG00000196954",-1.31067854905684,-10.054773173574,2.068264296635e-17,1.4015094539572e-15
"ENSG00000168394",-1.15662526606886,-10.0504206529906,2.1172650601261e-17,1.42957129758621e-15
"ENSG00000166523",-1.20369517504805,-10.0298862641872,2.36455327246645e-17,1.57955512577032e-15
"ENSG00000163823",-1.55142318082384,-10.0204776157852,2.48730372087184e-17,1.63851658497353e-15
"ENSG00000230825",-1.50142043131981,-9.98601235020438,2.99388928682622e-17,1.94478918569767e-15
"ENSG00000113369",-1.58858490855745,-9.97503760071921,3.17591406044204e-17,2.03496153301385e-15
"ENSG00000163219",-1.01259403711774,-9.97566502499392,3.16521594660148e-17,2.03496153301385e-15
"ENSG00000090924",1.0243316807086,9.94512942848505,3.73006323630741e-17,2.37388281234996e-15
"ENSG00000167851",-1.1978682245109,-9.94185009348691,3.79641858911026e-17,2.40797755493802e-15
"ENSG00000260078",-1.23351104779289,-9.93180847670316,4.00702849591262e-17,2.53303365120812e-15
"ENSG00000070190",-1.34932589531945,-9.92694010184268,4.11329822556432e-17,2.59151545060805e-15
"ENSG00000123610",-1.93769423219843,-9.90434979785272,4.64445882926991e-17,2.90672144271716e-15
"ENSG00000169220",-1.05257642387299,-9.87015809912941,5.58154784636302e-17,3.47013855873883e-15
"ENSG00000035720",-1.41418281973273,-9.83539730777604,6.72799931388329e-17,4.1016845008069e-15
"ENSG00000167208",-1.10051532599101,-9.83400470621978,6.77853570049429e-17,4.11916308148102e-15
"ENSG00000227268",-1.24643119221542,-9.81390164485134,7.55175095217762e-17,4.55961168067699e-15
"ENSG00000260228",-1.59696861468842,-9.8102623327609,7.70086600700083e-17,4.62002910318094e-15
"ENSG00000107796",-1.1954899902107,-9.76629063957792,9.75272152894022e-17,5.77741409315018e-15
"ENSG00000173221",-1.03810478026297,-9.76485033758759,9.82846122122649e-17,5.80402985847852e-15
"ENSG00000144843",-1.13918525892907,-9.75454908875072,1.03875616779388e-16,6.09597778470437e-15
"ENSG00000225964",-1.62872459309768,-9.75377849534495,1.04306406792254e-16,6.10224873028719e-15
"ENSG00000280248",-1.24592009760822,-9.74971485385219,1.06607817611036e-16,6.21757915837989e-15
"ENSG00000110852",-1.09768549518677,-9.74412916888952,1.09854205929776e-16,6.3871405287195e-15
"ENSG00000112715",1.16540166866318,9.74318316962942,1.10413713044803e-16,6.39991854257844e-15
"ENSG00000120949",-1.10933360390383,-9.73876831997541,1.13062720912353e-16,6.51338084570921e-15
"ENSG00000229515",-1.71321255433277,-9.72125004153604,1.24214600826757e-16,7.13400808040989e-15
"ENSG00000171049",-1.58147236741157,-9.71807558195447,1.26349933600166e-16,7.23379529144755e-15
"ENSG00000274750",-1.57237566873422,-9.71753079532481,1.26720057658865e-16,7.23379529144755e-15
"ENSG00000108679",-1.20882244411122,-9.69500291478754,1.43011721780018e-16,8.09025469937532e-15
"ENSG00000124786",-1.23077596222372,-9.6905863802761,1.46442858421429e-16,8.25955259563739e-15
"ENSG00000244617",-1.06986023750515,-9.67597474861222,1.58391070049022e-16,8.85391981478774e-15
"ENSG00000155926",-1.21338699937435,-9.66876612750571,1.64639441965292e-16,9.17596984539105e-15
"ENSG00000223804",-1.02866087922559,-9.64264790907702,1.89411670623012e-16,1.04331492725038e-14
"ENSG00000139679",-1.2138578438014,-9.6290580516382,2.03739330649934e-16,1.11247580022709e-14
"ENSG00000056558",1.02555077613785,9.61986277516377,2.14042654065298e-16,1.16199870815045e-14
"ENSG00000072952",-1.12071640304433,-9.5830449262191,2.60777657576524e-16,1.41164641190418e-14
"ENSG00000182952",-1.00955616586762,-9.57899456402756,2.66504337424625e-16,1.43441932212147e-14
"ENSG00000132669",-1.41760751737096,-9.56429349070522,2.88364859689262e-16,1.54705865004574e-14
"ENSG00000175518",-1.53269635997483,-9.55839891636346,2.97624848337232e-16,1.58828807166481e-14
"ENSG00000143376",-1.02523765315153,-9.55750972195554,2.99047249152135e-16,1.59137064393444e-14
"ENSG00000126368",1.3342850716379,9.53493528927502,3.37521910407756e-16,1.76617715229481e-14
"ENSG00000267745",-1.39700187442155,-9.52419486269902,3.57524578655586e-16,1.86051050074971e-14
"ENSG00000116663",-1.2357007660943,-9.51359798124372,3.78419132762241e-16,1.96381807795457e-14
"ENSG00000286076",-1.61120993054045,-9.5106966655221,3.84349440817659e-16,1.98720126838172e-14
"ENSG00000165181",-1.46976976036949,-9.50034601250947,4.06272170643602e-16,2.07407998660818e-14
"ENSG00000111261",-1.34717573855239,-9.4992208595098,4.08729216056281e-16,2.07825040161607e-14
"ENSG00000132141",1.38517582073291,9.42816167951092,5.98070639249556e-16,2.94933369167098e-14
"ENSG00000237217",-1.4182700756336,-9.40436116052699,6.79352938875656e-16,3.30748338662963e-14
"ENSG00000151743",-1.48619479981819,-9.38143310296243,7.68061139720652e-16,3.71946934448783e-14
"ENSG00000160223",1.28685647514437,9.37512585927928,7.94430039905252e-16,3.81586783340335e-14
"ENSG00000148572",-1.52130269911353,-9.36742795073623,8.27839961888233e-16,3.94806308912672e-14
"ENSG00000175352",1.52603761423753,9.36005355962335,8.61159759493444e-16,4.08627897968199e-14
"ENSG00000133104",-1.0454020708433,-9.341869789789,9.49149509817625e-16,4.48122267316903e-14
"ENSG00000270030",-1.59558207405868,-9.33877952247686,9.64970667752296e-16,4.54452935977944e-14
"ENSG00000170876",-1.04911796080308,-9.33801132590399,9.68944248166737e-16,4.55186327854489e-14
"ENSG00000261158",-1.72660984830314,-9.33218930019149,9.99594834353014e-16,4.67254776415436e-14
"ENSG00000115604",-1.77602596376406,-9.30989888243476,1.12615536727247e-15,5.19963598251933e-14
"ENSG00000068784",-1.05223069396834,-9.3058511661455,1.15079638887056e-15,5.30041622825027e-14
"ENSG00000103257",1.14518550219982,9.28274695343587,1.30210287869764e-15,5.95364418177335e-14
"ENSG00000121933",-1.7377296204324,-9.27427438307671,1.36243021838607e-15,6.21439720434788e-14
"ENSG00000205189",1.18872725741435,9.27269301974296,1.37399498781755e-15,6.25200907741716e-14
"ENSG00000234515",-1.45898368446319,-9.20720890802929,1.94952841221257e-15,8.74409910220487e-14
"ENSG00000204397",-1.07762940985529,-9.1947962320804,2.08312832071834e-15,9.23340501310403e-14
"ENSG00000164117",-1.24494439921182,-9.18216941943681,2.22840461252757e-15,9.85415166450572e-14
"ENSG00000204389",-1.13827765443287,-9.18028262108602,2.25096407274743e-15,9.88430331058651e-14
"ENSG00000115109",-1.10185733176726,-9.15487188831339,2.57793347203499e-15,1.1189656853962e-13
"ENSG00000123405",-1.07467000378267,-9.15374139629937,2.59353278017773e-15,1.12314874742502e-13
"ENSG00000164144",-1.15089380018462,-9.11643479136939,3.16468027887585e-15,1.35184233772026e-13
"ENSG00000203666",-1.06902854193424,-9.07388186476271,3.97068468406998e-15,1.6771246205944e-13
"ENSG00000270757",-2.34329735178523,-9.06143426450324,4.24303929709986e-15,1.78815154986056e-13
"ENSG00000167962",1.06855115653928,9.0430303565457,4.68020870904693e-15,1.95923937024502e-13
"ENSG00000224152",-1.1716808492378,-9.03974326719935,4.76288974872045e-15,1.98502913907955e-13
"ENSG00000112149",1.43061963831693,9.03903311356567,4.78094285609909e-15,1.98815455901092e-13
