"OlinkID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version"
"OID21439",-1.1476784741488,5.62953315926893,-7.96423014242686,1.9008776632692e-14,4.24430340751827e-13,22.0473478767788,"MMP12","P39900",0.03,0.4132,"ONCOLOGY",1
"OID20299",-1.11322515762925,2.84009295039164,-7.51387910085323,4.06890645775237e-13,7.85738828125425e-12,19.0429791684283,"CCN3","P48745",0.03,0.7146,"CARDIOMETABOLIC",1
"OID20916",-1.46401436738125,2.07014255874674,-7.38704383453862,9.42528562335141e-13,1.77220173102226e-11,18.220152477381,"PSG1","P11464",0.12,0.3474,"NEUROLOGY",1
"OID20787",-1.25127873055905,5.11179190600522,-7.28250180909166,1.86909909485382e-12,3.33867825818263e-11,17.5498568839437,"TFF2","Q03403",0.03,1.9752,"INFLAMMATION",1
"OID20227",1.12579089533417,2.1081637075718,7.13605018346665,4.81945800843646e-12,8.00814592332058e-11,16.6230345554522,"FBP1","P09467",0.5,1.9971,"CARDIOMETABOLIC",1
"OID20125",-1.91150527112231,2.00666762402089,-7.10724128291525,5.79697970716656e-12,9.30773483319214e-11,16.442408050931,"NTproBNP","NTproBNP",0.51,1.4709,"CARDIOMETABOLIC",1
"OID20049",-1.77180200084068,2.35784778067885,-6.90528589299773,2.08321664497625e-11,2.94744216403075e-10,15.1920107934233,"NPPB","P16860",0.55,1.9691,"CARDIOMETABOLIC",1
"OID21154",-1.16988587221521,2.28006892950392,-6.68141476116351,8.32946246926636e-11,1.06806261500901e-09,13.8388234967876,"TFF1","P04155",0.16,1.0844,"NEUROLOGY",1
"OID20292",-1.05250037831021,5.56261618798956,-6.5541236261409,1.80379626065777e-10,2.18442784447454e-09,13.0851394824609,"COL6A3","P12111",0.03,0.2756,"CARDIOMETABOLIC",1
"OID21391",-1.27318466162253,4.15744595300261,-6.36351387159062,5.61697941256498e-10,6.08080574284497e-09,11.9782623075049,"KLK4","Q9Y5K2",0.03,0.5592,"ONCOLOGY",1
"OID21378",-1.23029272123225,2.45634973544974,-6.22692067901915,1.26278851845855e-09,1.25314221727588e-08,11.1956999247877,"MUC16","Q8WXI7",0.47,2.4159,"ONCOLOGY",1
"OID21499",-1.00446188734762,3.71093420365535,-6.20725902705413,1.3982129604475e-09,1.35003129762127e-08,11.0906126657019,"KLK1","P06870",0.33,2.9441,"ONCOLOGY",1
"OID21123",-1.055774901219,2.65273289817232,-6.18540841123168,1.58618831281189e-09,1.4912257230317e-08,10.9679175767532,"OGN","P20774",0.05,0.8725,"NEUROLOGY",1
"OID20200",-1.13740756620428,3.13081618798956,-6.12059357476107,2.30129254255851e-09,2.12164325375233e-08,10.6060558647013,"FABP2","P12104",0.05,0.8544,"CARDIOMETABOLIC",1
"OID21411",-1.39830217738545,3.13947467362924,-5.62109805025349,3.65255814714853e-08,2.77633276184854e-07,7.92391823588252,"FGF23","Q9GZV9",0.04,0.7403,"ONCOLOGY",1
"OID20596",1.13781348886087,2.9021365535248,5.41397806125748,1.08804799547274e-07,7.47509896889682e-07,6.86836308359684,"KRT19","P08727",0.11,0.8425,"INFLAMMATION",1
"OID20274",1.09527965952081,3.45766240208877,5.35538973723017,1.47285922496596e-07,9.85165657435257e-07,6.57593286727683,"PLA2G2A","P14555",0.51,3.5741,"CARDIOMETABOLIC",1
"OID20220",-1.11086792349727,4.42864960835509,-4.68530410627825,3.88579029842279e-06,1.86962772270915e-05,3.42941235755924,"GH1","P01241",0.03,0.0447,"CARDIOMETABOLIC",1
